CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),label
200,0,30,137,83,0
168,1,33,86,95,0
166,1,36,85,75,0
164,1,31,81,93,0
162,1,29,79,83,0
160,1,30,78,73,0
158,1,30,78,78,0
156,1,27,78,89,0
154,1,38,78,76,0
152,0,39,78,88,0
148,1,32,77,74,0
170,0,32,87,63,0
146,0,28,77,97,0
142,0,32,75,93,0
140,1,35,74,72,0
138,0,32,73,73,0
136,1,29,73,88,0
134,1,31,72,71,0
132,0,39,71,75,0
130,0,38,71,75,0
128,0,40,71,95,0
126,1,31,70,77,0
124,0,39,69,91,0
144,1,32,76,87,0
172,0,28,87,75,0
150,0,34,78,90,0
188,0,28,101,68,0
174,0,36,87,92,0
184,1,29,98,88,0
194,1,38,113,91,0
180,0,35,93,90,0
182,1,32,97,86,0
178,0,27,88,69,0
190,1,36,103,85,0
176,1,30,88,86,0
186,0,30,99,97,0
198,0,32,126,74,0
196,1,35,120,79,0
192,1,32,103,69,0
141,1,57,75,5,1
139,0,19,74,10,1
191,1,34,103,23,1
189,1,41,103,17,1
173,0,36,87,10,1
193,0,33,113,8,1
143,1,28,76,40,1
131,0,47,71,9,1
195,1,47,120,16,1
129,0,59,71,11,1
127,0,43,71,35,1
197,1,45,126,28,1
125,1,23,70,29,1
135,0,20,73,5,1
133,1,25,72,34,1
137,1,44,73,7,1
187,1,54,101,24,1
145,0,25,77,12,1
175,1,52,88,13,1
171,0,40,87,13,1
169,1,36,87,27,1
177,0,58,88,15,1
167,0,42,86,20,1
165,0,50,85,26,1
179,0,59,93,14,1
163,0,19,81,5,1
161,1,56,79,35,1
199,0,32,137,18,1
159,0,34,78,1,1
157,0,37,78,1,1
183,0,46,98,15,1
155,1,47,78,16,1
153,1,44,78,20,1
185,1,41,99,39,1
151,0,43,78,17,1
149,1,34,78,22,1
181,1,37,97,32,1
147,0,48,77,36,1
109,0,68,63,43,2
108,0,54,63,46,2
107,1,66,63,50,2
103,0,67,62,59,2
105,0,49,62,56,2
104,0,26,62,55,2
110,0,66,63,48,2
102,1,49,62,48,2
106,1,21,62,42,2
111,0,65,63,52,2
116,1,19,65,50,2
113,1,38,64,42,2
114,0,19,64,46,2
115,1,18,65,48,2
117,1,63,65,43,2
118,1,49,65,59,2
119,1,51,67,43,2
120,1,50,67,57,2
121,0,27,67,56,2
123,1,40,69,58,2
101,1,23,62,41,2
112,1,19,63,54,2
122,1,38,67,40,2
1,0,19,15,39,2
98,1,27,60,50,2
27,1,45,28,32,2
28,0,35,28,61,2
29,1,40,29,31,2
30,1,23,29,87,2
31,0,60,30,4,2
32,1,21,30,73,2
33,0,53,33,4,2
34,0,18,33,92,2
35,1,49,33,14,2
36,1,21,33,81,2
37,1,42,34,17,2
38,1,30,34,73,2
39,1,36,37,26,2
40,1,20,37,75,2
41,1,65,38,35,2
42,0,24,38,92,2
43,0,48,39,36,2
44,1,31,39,61,2
45,1,49,39,28,2
46,1,24,39,65,2
47,1,50,40,55,2
26,0,29,28,82,2
48,1,27,40,47,2
25,1,54,28,14,2
23,1,46,25,5,2
2,0,21,15,81,2
3,1,20,16,6,2
4,1,23,16,77,2
5,1,31,17,40,2
6,1,22,17,76,2
7,1,35,18,6,2
8,1,23,18,94,2
9,0,64,19,3,2
10,1,30,19,72,2
11,0,67,19,14,2
12,1,35,19,99,2
13,1,58,20,15,2
14,1,24,20,77,2
15,0,37,20,13,2
16,0,22,20,79,2
17,1,35,21,35,2
18,0,20,21,66,2
19,0,52,23,29,2
20,1,35,23,98,2
21,0,35,24,35,2
22,0,25,24,73,2
24,0,31,25,73,2
99,0,48,61,42,2
49,1,29,40,42,2
51,1,49,42,52,2
77,1,45,54,53,2
78,0,40,54,48,2
79,1,23,54,52,2
80,1,49,54,42,2
81,0,57,54,51,2
82,0,38,54,55,2
83,0,67,54,41,2
84,1,46,54,44,2
85,1,21,54,57,2
86,0,48,54,46,2
87,1,55,57,58,2
88,1,22,57,55,2
89,1,34,58,60,2
90,1,50,58,46,2
91,1,68,59,55,2
92,0,18,59,41,2
93,0,48,60,49,2
94,1,40,60,40,2
95,1,32,60,42,2
96,0,24,60,52,2
97,1,47,60,47,2
76,0,26,54,54,2
50,1,31,40,42,2
75,0,59,54,47,2
73,1,60,50,49,2
52,0,33,42,60,2
53,1,31,43,54,2
54,0,59,43,60,2
55,1,50,43,45,2
56,0,47,43,41,2
57,1,51,44,50,2
58,0,69,44,46,2
59,1,27,46,51,2
60,0,53,46,46,2
61,0,70,46,56,2
62,0,19,46,55,2
63,1,67,47,52,2
64,1,54,47,59,2
65,0,63,48,51,2
66,0,18,48,59,2
67,1,43,48,50,2
68,1,68,48,48,2
69,0,19,48,59,2
70,1,32,48,47,2
71,0,70,49,55,2
72,1,47,49,42,2
74,1,60,50,56,2
100,0,20,61,49,2
